,Unnamed: 0,Date,Total Tested,Total Cases,Total Deaths,Total Recovered,Newly Tested,New Cases,New Deaths,Newly Recovered,Notes,Day of Pandemic/Outbreak,Positivity rate,Death case ratio,Cases Normalised,Tests Normalised,Daily Tests SMA3,Daily Cases SMA3,Daily Deaths SMA3,Daily Tests SMA7,Daily Cases SMA7,Daily Deaths SMA7,Daily Recoveries SMA7
103,103,2020-06-21,612164.0,112306.0,1464.0,45077.0,15585.0,3531.0,39.0,1084.0,0,103/101,0.22656400384985564,0.013035812868413085,0.011781310057655349,0.010582581824033767,14887.0,3338.0,40.333333333333336,15814.142857142857,3540.8571428571427,41.857142857142854,3763.8571428571427
104,104,2020-06-22,627719.0,115786.0,1502.0,46755.0,15555.0,3480.0,38.0,1678.0,0,104/102,0.22372227579556414,0.012972207348038623,0.011611146700832799,0.01056221111792398,15057.0,3417.0,38.0,15888.0,3595.285714285714,41.857142857142854,1818.2857142857142
105,105,2020-06-23,644011.0,119198.0,1545.0,47635.0,16292.0,3412.0,43.0,880.0,0,105/103,0.20942794009329732,0.012961626872934109,0.0113842622250694,0.01106265146468772,15810.666666666666,3474.3333333333335,40.0,15756.285714285714,3531.0,40.42857142857143,1624.4285714285713
106,106,2020-06-24,660444.0,122660.0,1582.0,49666.0,16433.0,3462.0,37.0,2031.0,0,106/104,0.21067364449583156,0.012897440078265123,0.011551089045483664,0.011158393783403714,16093.333333333334,3451.3333333333335,39.333333333333336,15600.0,3453.0,39.57142857142857,1639.5714285714287
107,107,2020-06-25,678443.0,126606.0,1621.0,51495.0,17999.0,3946.0,39.0,1829.0,0,107/105,0.2192344019112173,0.012803500623983066,0.013165972667093743,0.012221744642334538,16908.0,3606.6666666666665,39.666666666666664,15848.57142857143,3473.4285714285716,39.714285714285715,1618.7142857142858
108,108,2020-06-26,696941.0,130474.0,1661.0,53133.0,18498.0,3868.0,40.0,1638.0,0,108/106,0.20910368688506867,0.01273050569462115,0.01290572282724749,0.012560577387293976,17643.333333333332,3758.6666666666665,38.666666666666664,16341.857142857143,3562.714285714286,39.0,1455.4285714285713
109,109,2020-06-27,712098.0,133978.0,1695.0,54318.0,15157.0,3504.0,34.0,1185.0,0,109/107,0.2311803127267929,0.012651330815507024,0.011691223574631647,0.010291959750200821,17218.0,3772.6666666666665,37.666666666666664,16502.714285714286,3600.4285714285716,38.57142857142857,1475.0
110,110,2020-06-28,730197.0,137787.0,1738.0,55727.0,18099.0,3809.0,43.0,1409.0,0,110/108,0.2104536162218907,0.012613671826805142,0.012708867179158659,0.012289646996033823,17251.333333333332,3727.0,39.0,16861.85714285714,3640.1428571428573,39.142857142857146,1521.4285714285713
111,111,2020-06-29,748034.0,141801.0,1783.0,57780.0,17837.0,4014.0,45.0,2053.0,0,111/109,0.22503784268655042,0.012573959280964168,0.013392857142857142,0.012111742829341694,17031.0,3775.6666666666665,40.666666666666664,17187.85714285714,3716.4285714285716,40.142857142857146,1575.0
112,112,2020-06-30,766460.0,145483.0,1847.0,59624.0,18426.0,3682.0,64.0,1844.0,0,112/110,0.19982633235645283,0.012695641415148161,0.012285127055306428,0.01251168769263049,18120.666666666668,3835.0,50.666666666666664,17492.714285714286,3755.0,43.142857142857146,1712.7142857142858
