,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,01 November 2020,02 November 2020,03 November 2020,04 November 2020,05 November 2020,06 November 2020,07 November 2020,08 November 2020,09 November 2020,10 November 2020,11 November 2020,12 November 2020,13 November 2020,14 November 2020,15 November 2020,16 November 2020,17 November 2020,18 November 2020,19 November 2020,20 November 2020,21 November 2020,22 November 2020,23 November 2020,24 November 2020,25 November 2020,26 November 2020,27 November 2020,28 November 2020,29 November 2020,30 November 2020,01 December 2020,02 December 2020,03 December 2020,04 December 2020,05 December 2020,06 December 2020,07 December 2020,08 December 2020,09 December,10 December 2020,11 December 2020,12 December 2020,13 December 2020,14 December 2020,15 December 2020,16 December 2020,17 December 2020,18 December 2020,19 December 2020,20 December 2020,21 December 2020,22 December 2020,23 December 2020,24 December 2020,25 December 2020,26 December 2020,27 December 2020,28 December 2020,29 December 2020,30 December 2020,31 December 2020
13,13.0,Dhaka,Tangail,3554,200819,09.12.2020,,0,15,5,12,15,8,8,0,12,6,9,4,6,1,0,18,6,10,8,15,1,0,9,4,6,4,8,4,2,9,4,2,10,13,3,0,16,3,8,,,,,,,,,,,,,,,,,,,,,,
14,14.0,Dhaka,Shariatpur,1840,200819,09.12.2020,,3,0,0,2,0,2,0,0,4,7,0,5,0,0,4,1,0,1,0,4,0,0,5,0,0,1,0,4,0,6,0,0,0,2,0,0,7,1,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,Dhaka,Gopalganj,2901,200819,09.12.2020,,0,4,5,6,6,3,3,5,4,13,4,9,5,10,2,4,1,4,5,8,4,9,7,16,6,4,7,7,2,7,9,3,6,6,0,3,8,6,11,,,,,,,,,,,,,,,,,,,,,,
16,16.0,Chattogram,Chattogram,27069,59118,09.12.2020,,32,82,80,80,96,86,94,63,103,108,107,113,108,146,63,181,157,178,161,197,145,64,242,183,106,223,206,188,68,291,199,260,231,240,198,147,233,213,213,,,,,,,,,,,,,,,,,,,,,,
17,17.0,Chattogram,Cox’s bazar,5567,59118,09.12.2020,,6,5,6,21,16,5,19,11,7,15,10,26,17,1,10,8,1,13,16,12,4,2,16,14,6,20,14,9,13,12,17,12,2,4,4,6,11,11,10,,,,,,,,,,,,,,,,,,,,,,
18,18.0,Chattogram,Comilla,8712,59118,09.12.2020,,7,22,16,23,21,14,18,19,18,17,24,7,26,32,3,16,21,14,29,22,23,3,29,46,34,8,41,38,16,12,26,4,3,11,22,0,8,24,52,,,,,,,,,,,,,,,,,,,,,,
19,19.0,Chattogram,B. Baria,2685,59118,09.12.2020,,8,0,0,0,7,1,0,0,1,11,0,6,0,0,4,0,17,0,0,30,0,4,0,16,0,17,1,0,5,13,1,1,12,1,0,1,0,27,0,,,,,,,,,,,,,,,,,,,,,,
20,20.0,Chattogram,Khagrachari,763,59118,09.12.2020,,0,5,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,7,0,0,0,0,4,0,0,0,5,2,0,10,0,0,4,0,6,0,3,,,,,,,,,,,,,,,,,,,,,,
21,21.0,Chattogram,Laksmipur,2268,59118,09.12.2020,,3,2,3,0,2,1,0,2,1,0,1,0,3,0,2,0,4,8,0,0,0,4,6,1,0,8,2,0,0,5,4,2,3,0,4,0,1,5,3,,,,,,,,,,,,,,,,,,,,,,
22,22.0,Chattogram,Bandarban,857,59118,09.12.2020,,0,1,0,0,0,2,0,1,9,0,1,8,0,0,0,0,0,3,2,1,1,2,0,1,0,3,2,9,1,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
23,23.0,Chattogram,Rangamati,1067,59118,09.12.2020,,4,1,1,2,0,2,0,0,7,1,4,3,6,3,0,2,10,2,8,9,5,0,6,3,5,1,1,6,0,11,6,2,2,10,1,0,3,8,4,,,,,,,,,,,,,,,,,,,,,,
24,24.0,Chattogram,Noakhali,5399,59118,09.12.2020,,2,6,3,1,1,7,10,1,3,4,6,8,13,4,0,7,6,6,11,13,7,3,17,11,8,2,3,0,23,15,20,7,13,6,16,8,11,9,4,,,,,,,,,,,,,,,,,,,,,,
25,25.0,Chattogram,Feni,2157,59118,09.12.2020,,0,3,7,4,5,6,2,0,7,2,3,7,3,6,1,9,4,3,5,1,2,6,8,5,5,0,1,0,19,8,10,11,4,4,13,2,8,11,2,,,,,,,,,,,,,,,,,,,,,,
26,26.0,Chattogram,Chandpur,2574,59118,09.12.2020,,0,16,13,9,7,6,7,0,8,6,5,2,4,5,0,9,5,7,4,6,3,0,7,2,4,3,3,8,0,6,6,4,5,3,2,1,6,2,4,,,,,,,,,,,,,,,,,,,,,,
27,27.0,Sylhet,Sylhet,8609,14833,08.12.2020,,33,42,20,21,12,23,22,30,20,55,33,26,31,34,17,25,34,27,22,20,11,15,30,42,26,34,29,20,20,28,24,31,21,29,26,6,28,11,,,,,,,,,,,,,,,,,,,,,,,
